# Progression simulation
# runs=20000 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=10 ppoNormalRunsPerPrestige=500 ppoTrainingMovesPerRun=150
# finalChips=4045308 totalEarned=103226808 prestiges=4 insight=29 cycleInsight=0 lifetimeInsight=540 simSeconds=151608
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished	IncomeMix
2569	13359	Modifier.Miner's Pickaxe	Modifier Miner's Pickaxe L4	2000000000	chips	2129793	10492256593
2583	13409	TokenPack	Token Pack	12400	chips	127873814	10618013014
2603	13481	TokenPack	Token Pack	12400	chips	318880036	10809031636
2623	13556	TokenPack	Token Pack	12400	chips	512469519	11002633519
2643	13628	TokenPack	Token Pack	12400	chips	710062457	11200238857
2663	13701	TokenPack	Token Pack	12400	chips	912176245	11402365045
2683	13772	TokenPack	Token Pack	12400	chips	1103321108	11593522308
2703	13844	TokenPack	Token Pack	12400	chips	1306423531	11796637131
2723	13913	TokenPack	Token Pack	12400	chips	1487839880	11978065880
2743	13987	TokenPack	Token Pack	12400	chips	1679196684	12169435084
2763	14062	TokenPack	Token Pack	12400	chips	1886855761	12377106561
2775	14107	Modifier.Queue Scrubber	Modifier Queue Scrubber L4	2000000000	chips	4948125	12495198925
2783	14135	TokenPack	Token Pack	12400	chips	77242152	12567505352
2803	14208	TokenPack	Token Pack	12400	chips	267716352	12757991952
2823	14277	TokenPack	Token Pack	12400	chips	464703468	12954991468
2843	14347	TokenPack	Token Pack	12400	chips	647846734	13138147134
2863	14419	TokenPack	Token Pack	12400	chips	839430533	13329743333
2883	14488	TokenPack	Token Pack	12400	chips	1011269541	13501594741
2903	14562	TokenPack	Token Pack	12400	chips	1204318223	13694655823
2923	14635	TokenPack	Token Pack	12400	chips	1400655086	13891005086
2943	14706	TokenPack	Token Pack	12400	chips	1587296850	14077659250
2963	14780	TokenPack	Token Pack	12400	chips	1784018587	14274393387
2983	14855	TokenPack	Token Pack	12400	chips	1986195940	14476583140
3003	14928	TokenPack	Token Pack	12400	chips	2175157993	14665557593
3023	14999	TokenPack	Token Pack	12400	chips	2363167288	14853579288
3043	15069	TokenPack	Token Pack	12400	chips	2538472965	15028897365
3063	15137	TokenPack	Token Pack	12400	chips	2718650912	15209087712
3083	15208	TokenPack	Token Pack	12400	chips	2904360875	15394810075
3093	15243	Modifier.Unstable Stack	Modifier Unstable Stack L5	3000000000	chips	5490983	15495940183
3103	15279	TokenPack	Token Pack	12400	chips	89227290	15579688890
3123	15352	TokenPack	Token Pack	12400	chips	277139479	15767613479
3143	15425	TokenPack	Token Pack	12400	chips	474937871	15965424271
3163	15501	TokenPack	Token Pack	12400	chips	677501714	16168000514
3183	15573	TokenPack	Token Pack	12400	chips	858674073	16349185273
3203	15645	TokenPack	Token Pack	12400	chips	1048915453	16539439053
3223	15718	TokenPack	Token Pack	12400	chips	1228585049	16719121049
3243	15791	TokenPack	Token Pack	12400	chips	1418065602	16908614002
3263	15864	TokenPack	Token Pack	12400	chips	1609775533	17100336333
3283	15936	TokenPack	Token Pack	12400	chips	1799216790	17289789990
3303	16009	TokenPack	Token Pack	12400	chips	1993182984	17483768584
3323	16083	TokenPack	Token Pack	12400	chips	2164982549	17655580549
3343	16157	TokenPack	Token Pack	12400	chips	2361959263	17852569663
3363	16228	TokenPack	Token Pack	12400	chips	2560758099	18051380899
3383	16302	TokenPack	Token Pack	12400	chips	2764698812	18255334012
3403	16375	TokenPack	Token Pack	12400	chips	2964197492	18454845092
3423	16449	TokenPack	Token Pack	12400	chips	3167814559	18658474559
3443	16523	TokenPack	Token Pack	12400	chips	3373050263	18863722663
