# Progression simulation
# runs=8000 seed=12345 moveCap=1000 manualProxy=Rand
# Purchases:
Run	Label	Cost	ChipsAfter	TotalEarnedAfter
6000	339529821	128321	397768021	Combo	5512	146	512	
6020	341104834	67217	399343034	Combo	4110	129	256	
6040	342619140	132541	400857340	Combo	5196	148	512	
6060	344190423	36642	402428623	Combo	3354	120	128	
6080	345733729	43658	403971929	Combo	4247	127	128	
6100	346769596	13238	405007796	Combo	1952	128	64	
6120	348293429	122938	406531629	Combo	5498	177	256	
6140	350019324	69118	408257524	Combo	3627	155	256	
6160	351560888	40511	409799088	Combo	3403	141	128	
6180	353333160	273403	411571360	Combo	7808	187	1024	
6200	354507716	60403	412745916	Combo	3681	148	256	
6220	356005377	54506	414243577	Combo	4680	157	128	
6240	357610403	47484	415848603	Combo	3519	135	128	
6260	358946219	77527	417184419	Combo	5211	128	256	
6280	360275529	139680	418513729	Combo	5236	159	512	
6300	362009522	97613	420247722	Combo	5482	173	256	
6320	363450804	107187	421689004	Combo	4069	133	512	
6340	364576715	71210	422814915	Combo	3726	145	256	
6360	365977561	56434	424215761	Combo	4366	141	128	
6380	367430995	73770	425669195	Combo	4121	129	256	
6400	368773322	28476	427011522	Combo	2721	123	128	
6420	370162847	88487	428401047	Combo	4363	149	256	
6440	371593653	96940	429831853	Combo	5100	184	256	
6460	373437027	118002	431675227	Combo	4838	169	512	
6480	374817348	41069	433055548	Combo	2599	110	256	
6500	377534747	82653	435772947	Combo	4679	164	256	
6520	379286162	116545	437524362	Combo	5437	126	256	
6540	380815330	42283	439053530	Combo	3347	124	128	
6560	382354219	137981	440592419	Combo	6638	238	256	
6580	383848357	42526	442086557	Combo	3946	161	128	
6600	385586870	118666	443825070	Combo	4646	143	512	
6620	386934156	39900	445172356	Combo	3235	159	128	
6640	388556938	43694	446795138	Combo	3210	123	128	
6660	389990900	142287	448229100	Combo	5572	177	512	
6680	391477808	86141	449716008	Combo	4345	142	256	
6700	393161587	80311	451399787	Combo	5112	114	256	
6720	394662844	87748	452901044	Combo	4174	150	256	
6740	396362126	64625	454600326	Combo	3942	140	256	
6760	397777200	74554	456015400	Combo	3711	156	256	
6780	399516658	170986	457754858	Combo	5853	182	512	
6800	401026303	25977	459264503	Combo	2349	133	128	
6820	402590430	100761	460828630	Combo	4278	124	512	
6840	403841591	60267	462079791	Combo	4491	176	128	
6860	405705145	45146	463943345	Combo	3014	127	256	
6880	407224423	28588	465462623	Combo	2913	117	128	
6900	408584174	35833	466822374	Combo	2977	168	128	
6920	410212031	46335	468450231	Combo	3664	165	128	
6940	411859013	40589	470097213	Combo	3840	125	128	
6960	413659070	161599	471897270	Combo	6108	182	512	
6980	415303717	42931	473541917	Combo	3219	147	128	
7000	417285853	98492	475524053	Combo	3760	130	512	
7020	418962814	24531	477201014	Combo	2752	128	128	
7040	420625899	93197	478864099	Combo	4240	148	256	
