# Progression simulation
# runs=7556 seed=12345 moveCap=1000 manualProxy=Rand stopAtPpo=False simulateResearch=True targetPrestiges=6 ppoNormalRunsPerPrestige=100
# finalChips=900000 totalEarned=900000 prestiges=6 insight=20383 cycleInsight=0 lifetimeInsight=22866
# Purchases:
Run	Label	Cost	Currency	BalanceAfter	TotalEarnedAfter
7478	Stack Cap L5	11000000	chips	1248012	102508012
7484	Modifier Unstable Stack L5	12800000	chips	485480	114545480
7491	Modifier Queue Scrubber L4	14400000	chips	1326479	129786479
7498	Chip Yield	15000000	chips	602604	144062604
7504	Modifier Miner's Pickaxe L4	16000000	chips	179180	159639180
7512	Modifier Queue Scrubber L5	28800000	chips	444852	188704852
7524	Modifier Miner's Pickaxe L5	32000000	chips	5480421	225740421
7556	Solver PPO	100000000	chips	1922840	322182840
7556	Prestige +1250 Insight	0	Insight	20383	900000

# Per-run economy (sampled):
Run	Chips	Insight	CycleInsight	Prestiges	GrossIncome	CumEarned	Solver	Score	Moves	High	Bought
1	188	0	0	0	188	188	Rand	430	80	16	
2	312	0	0	0	124	312	Rand	269	60	16	
3	433	0	0	0	121	433	Rand	270	59	16	
4	520	0	0	0	87	520	Rand	166	50	8	
5	601	0	0	0	81	601	Rand	157	47	8	
6	714	0	0	0	113	714	Rand	232	59	8	
7	787	0	0	0	73	787	Rand	140	40	8	
8	897	0	0	0	110	897	Rand	226	61	8	
9	5	0	0	0	108	1005	Rand	209	56	16	Solver RAND
10	75	0	0	0	70	1075	Rand	124	40	8	
11	170	0	0	0	95	1170	Rand	191	52	8	
12	365	0	0	0	195	1365	Rand	423	85	16	
20	33	0	0	0	145	2233	Rand	306	66	16	Auto Solve
46	34	0	0	0	70	5234	Rand	139	41	8	Solver MERG
50	1930	0	0	0	579	7130	Merge	1303	151	64	
54	195	0	0	0	345	9395	Merge	797	115	32	Chip Yield
61	35	0	0	0	662	15235	Merge	1050	126	32	Solver BAL
69	688	0	0	0	882	21888	Merge	1221	159	64	Speed L1
79	591	0	0	0	906	29791	Merge	1293	146	64	Auto Restart
92	49	0	0	0	775	41249	Merge	1130	132	64	Stack Cap L1
100	9236	0	0	0	1113	50436	Merge	1650	188	64	
109	501	0	0	0	722	59701	Merge	1073	127	64	Solver STALL
146	731	0	0	0	1741	89931	AntiStall	2239	187	128	Solver HEUR
150	4890	0	0	0	731	94090	Heur	1112	152	32	
172	90	0	0	0	699	119290	Heur	1105	148	32	Solver Tuning
198	304	0	0	0	1990	149504	Heur	2624	220	128	Speed L2
200	1745	0	0	0	851	150945	Heur	1292	145	64	
237	921	0	0	0	1193	190121	Heur	1811	184	64	Queue Preview
250	16890	0	0	0	2096	206090	Heur	2782	250	128	
269	540	0	0	0	571	229740	Heur	898	123	32	Chip Yield
300	38765	0	0	0	1112	267965	Heur	1432	164	64	
314	13	0	0	0	804	289213	Heur	1073	141	32	Difficulty L1
350	35663	0	0	0	766	324863	Heur	1064	119	32	
383	925	0	0	0	991	360125	Heur	1353	127	64	Stack Cap L2
400	21453	0	0	0	913	380653	Heur	1258	127	64	
